,Coefficient,MAE,ExpVar
summit_elev,13.667005356916608,5.492663035346577,0.9240208791564122
vertical_drop,4.895438040590789,5.492663035346577,0.9240208791564122
base_elev,10.486503419161318,5.492663035346577,0.9240208791564122
trams,0.30203158522199014,5.492663035346577,0.9240208791564122
fastEight,0.0883168514524497,5.492663035346577,0.9240208791564122
fastSixes,0.42501878833993884,5.492663035346577,0.9240208791564122
fastQuads,0.7001913890562044,5.492663035346577,0.9240208791564122
quad,1.5593945546051702,5.492663035346577,0.9240208791564122
triple,1.4478587232811093,5.492663035346577,0.9240208791564122
double,0.37738325182955407,5.492663035346577,0.9240208791564122
surface,1.3093112204660091,5.492663035346577,0.9240208791564122
total_chairs,0.6934429706638057,5.492663035346577,0.9240208791564122
Runs,1.4828977456096066,5.492663035346577,0.9240208791564122
TerrainParks,0.2042887986191468,5.492663035346577,0.9240208791564122
LongestRun_mi,0.16587032231991983,5.492663035346577,0.9240208791564122
SkiableTerrain_ac,0.40475400560370445,5.492663035346577,0.9240208791564122
Snow Making_ac,0.0015961466828547525,5.492663035346577,0.9240208791564122
daysOpenLastYear,1.016054784255339,5.492663035346577,0.9240208791564122
yearsOpen,0.2901031768934544,5.492663035346577,0.9240208791564122
averageSnowfall,1.5825164560328255,5.492663035346577,0.9240208791564122
AdultWeekday,19.99837080112306,5.492663035346577,0.9240208791564122
projectedDaysOpen,0.3767901545277608,5.492663035346577,0.9240208791564122
NightSkiing_ac,0.5168487060688092,5.492663035346577,0.9240208791564122
clusters,0.9452557102240935,5.492663035346577,0.9240208791564122
